accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
0.8125,0.8145363408521303,0.8165726817042607,0.8145363408521303,0.8125,0.8125,0.8125
0.79375,0.7941551202420767,0.7939341455645803,0.7902262727844123,0.79375,0.7913950456323338,0.793057366362451
0.775,0.7718416090509114,0.777105593966059,0.7746031746031746,0.775,0.7727272727272727,0.7755681818181819
0.76875,0.7683231754961712,0.7708841225191436,0.7697988686360779,0.76875,0.768306524206489,0.7690667684239364
0.825,0.8258956631049654,0.8255971087366436,0.8242651657285803,0.825,0.8245614035087719,0.824780701754386
