model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,confusion_matrix,training_time,prediction_time
random,0.545,0.5444399959963968,0.5451866680012011,0.5444711538461539,0.545,0.5444419413781882,0.5450797226602588,"[[51 45]
 [46 58]]",7.867813110351562e-06,4.1961669921875e-05
naive_bayes,0.785,0.7867167919799498,0.7880902255639097,0.7864583333333333,0.785,0.7849946248656217,0.7849516237905948,"[[79 17]
 [26 78]]",0.0019230842590332031,0.0007119178771972656
svm,0.72,0.7272541819665443,0.729326805385557,0.7231570512820513,0.72,0.7192982456140351,0.7187368421052631,"[[77 19]
 [37 67]]",1.7066891193389893,0.23133492469787598
absa,0.8357142857142857,0.7094711901044954,0.8312604136636428,0.6531134126070834,0.8357142857142857,0.6666955934731261,0.8304252172893296,"[[104   2  26]
 [ 11   9  13]
 [ 34   6 355]]",54.46092677116394,1.328305959701538
absa_all,0.8232142857142857,0.6665346742490744,0.8151493331770325,0.6177534842091804,0.8232142857142857,0.6243133187207633,0.8153895448846573,"[[103   2  27]
 [ 12   6  15]
 [ 37   6 352]]",66.6943747997284,1.6807379722595215
