model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,confusion_matrix,training_time,prediction_time
random,0.485,0.48306280875088214,0.483923782639379,0.4831730769230769,0.485,0.482814892922598,0.4841595742009993,"[[42 54]
 [49 55]]",6.9141387939453125e-06,2.5033950805664062e-05
naive_bayes,0.785,0.7867167919799498,0.7880902255639097,0.7864583333333333,0.785,0.7849946248656217,0.7849516237905948,"[[79 17]
 [26 78]]",0.0019259452819824219,0.0021288394927978516
svm,0.72,0.7272541819665443,0.729326805385557,0.7231570512820513,0.72,0.7192982456140351,0.7187368421052631,"[[77 19]
 [37 67]]",1.7554371356964111,0.2360236644744873
absa,0.8196428571428571,0.6490777071212736,0.8140023097589733,0.6270042194092827,0.8196428571428571,0.6297934124895895,0.8146856018370823,"[[104   1  27]
 [ 12   7  14]
 [ 36  11 348]]",54.55628490447998,1.3261651992797852
