accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
0.505,0.5047619047619047,0.5048095238095238,0.5047504750475047,0.505,0.50455409868882,0.5047027324592134
0.51125,0.5113961183144753,0.5114492522470119,0.5113886388638864,0.51125,0.5112125772129428,0.5111698083134489
0.47875,0.4787623672647954,0.47881183632397706,0.47876037603760374,0.47875,0.4787426698187943,0.4787622169686761
0.49125,0.4915489951089652,0.49159329068066376,0.4915866586658666,0.49125,0.4908291384597581,0.49068275183706533
0.505,0.5053763440860215,0.5054301075268818,0.5053505350535054,0.505,0.50455409868882,0.5044054649184265
